threshold,accuracy,balanced_accuracy,precision,recall,f1,f0_5,roc_auc,tn,fp,fn,tp,false_alarms_per_hour_window_level,processed_prob_mean,threshold_low,postprocess_smoothing,postprocess_hysteresis
0.1,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.7425293127782,0,604,0,488,127437.36263736265,0.49253047629283164,0.020000000000000004,True,True
0.12,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.7425293127782,0,604,0,488,127437.36263736265,0.49253047629283164,0.039999999999999994,True,True
0.15,0.46794871794871795,0.5190397350993378,0.45650140318054255,1.0,0.6268464996788696,0.5121746431565511,0.7425293127782,23,581,0,488,122584.61538461539,0.49253047629283164,0.06999999999999999,True,True
0.18,0.5201465201465202,0.5632735316469439,0.4816700610997963,0.9692622950819673,0.6435374149659864,0.5355525362313925,0.7425293127782,95,509,15,473,107393.4065934066,0.49253047629283164,0.09999999999999999,True,True
0.2,0.5402930402930403,0.5805015742047551,0.4926315789473684,0.9590163934426229,0.650904033379694,0.5457089552233764,0.7425293127782,122,482,20,468,101696.70329670329,0.49253047629283164,0.12000000000000001,True,True
0.22,0.5732600732600732,0.6101061231136684,0.5120614035087719,0.9569672131147541,0.6671428571428571,0.564555125724818,0.7425293127782,159,445,21,467,93890.10989010989,0.49253047629283164,0.14,True,True
0.25,0.5824175824175825,0.6177939420258387,0.5178571428571429,0.9508196721311475,0.6705202312138728,0.5697445972489813,0.7425293127782,172,432,24,464,91147.25274725274,0.49253047629283164,0.16999999999999998,True,True
0.28,0.6071428571428571,0.6395546086201281,0.5341830822711472,0.944672131147541,0.6824574389341229,0.5850253807101174,0.7425293127782,202,402,27,461,84817.58241758242,0.49253047629283164,0.2,True,True
0.3,0.6163003663003663,0.6476359787210944,0.5405405405405406,0.9426229508196722,0.6870799103808812,0.5909558067825965,0.7425293127782,213,391,28,460,82496.7032967033,0.49253047629283164,0.21999999999999997,True,True
0.32,0.6245421245421245,0.6546927586581262,0.5465393794749404,0.9385245901639344,0.6907993966817496,0.596354166666112,0.7425293127782,224,380,30,458,80175.82417582418,0.49253047629283164,0.24,True,True
0.35,0.641941391941392,0.6688470307241342,0.5603985056039851,0.9221311475409836,0.69713400464756,0.6081081081075356,0.7425293127782,251,353,38,450,74479.12087912088,0.49253047629283164,0.26999999999999996,True,True
0.38,0.6465201465201466,0.6700344696558462,0.56640625,0.8913934426229508,0.6926751592356688,0.6109550561791838,0.7425293127782,271,333,53,435,70259.34065934067,0.49253047629283164,0.3,True,True
0.4,0.6547619047619048,0.675713820432092,0.5748987854251012,0.8729508196721312,0.6932465419039869,0.6170336037073884,0.7425293127782,289,315,62,426,66461.53846153845,0.49253047629283164,0.32,True,True
0.43,0.6657509157509157,0.6832862881337531,0.5872340425531914,0.8483606557377049,0.694048616932104,0.6257557436511246,0.7425293127782,313,291,74,414,61397.8021978022,0.49253047629283164,0.35,True,True
0.45,0.6675824175824175,0.68356448811204,0.590711175616836,0.8340163934426229,0.6915887850467289,0.627311960541901,0.7425293127782,322,282,81,407,59498.90109890111,0.49253047629283164,0.37,True,True
0.48,0.6776556776556777,0.6895220388665726,0.6052631578947368,0.8012295081967213,0.689594356261023,0.6363932291659986,0.7425293127782,349,255,97,391,53802.1978021978,0.49253047629283164,0.39999999999999997,True,True
0.5,0.6767399267399268,0.6857425903810661,0.6094003241491086,0.7704918032786885,0.6805429864253394,0.6359945872794192,0.7425293127782,363,241,112,376,50848.35164835164,0.49253047629283164,0.42,True,True
0.52,0.684981684981685,0.6914219411573119,0.6220338983050847,0.7520491803278688,0.6808905380333952,0.644311797752099,0.7425293127782,381,223,121,367,47050.54945054945,0.49253047629283164,0.44,True,True
0.55,0.6923076923076923,0.6943057214200412,0.6397058823529411,0.7131147540983607,0.6744186046511628,0.653153153152405,0.7425293127782,408,196,140,348,41353.846153846156,0.49253047629283164,0.47000000000000003,True,True
0.58,0.6959706959706959,0.6942717945934209,0.6541501976284585,0.6782786885245902,0.6659959758551308,0.6588375796170517,0.7425293127782,429,175,157,331,36923.07692307693,0.49253047629283164,0.49999999999999994,True,True
0.6,0.6868131868131868,0.6814678102269026,0.6553191489361702,0.6311475409836066,0.6430062630480167,0.6503378378370198,0.7425293127782,442,162,180,308,34180.21978021978,0.49253047629283164,0.52,True,True
0.62,0.6840659340659341,0.6768198349799153,0.6585365853658537,0.6086065573770492,0.6325878594249201,0.6479057591614659,0.7425293127782,450,154,191,297,32492.30769230769,0.49253047629283164,0.54,True,True
0.65,0.6611721611721612,0.6494341005319726,0.6446078431372549,0.5389344262295082,0.5870535714285714,0.6202830188670385,0.7425293127782,459,145,225,263,30593.406593406595,0.49253047629283164,0.5700000000000001,True,True
0.68,0.6364468864468864,0.6184249810009771,0.6311239193083573,0.4487704918032787,0.5245508982035928,0.5836886993593788,0.7425293127782,476,128,269,219,27006.593406593405,0.49253047629283164,0.6000000000000001,True,True
0.7,0.6355311355311355,0.6154326348930627,0.6380368098159509,0.4262295081967213,0.5110565110565111,0.580357142856152,0.7425293127782,486,118,280,208,24896.703296703297,0.49253047629283164,0.62,True,True
0.72,0.6391941391941391,0.6161858104440343,0.6587837837837838,0.39959016393442626,0.49744897959183676,0.5831339712908327,0.7425293127782,503,101,293,195,21309.89010989011,0.49253047629283164,0.64,True,True
0.75,0.6263736263736264,0.5984963630441863,0.6612903225806451,0.3360655737704918,0.44565217391304346,0.5540540540529489,0.7425293127782,520,84,324,164,17723.076923076926,0.49253047629283164,0.67,True,True
0.78,0.6327838827838828,0.6001587775485833,0.7185929648241206,0.2930327868852459,0.4163027656477438,0.556853582553339,0.7425293127782,548,56,345,143,11815.384615384615,0.49253047629283164,0.7000000000000001,True,True
0.8,0.63003663003663,0.5955108023015959,0.7333333333333333,0.27049180327868855,0.39520958083832336,0.5463576158928359,0.7425293127782,556,48,356,132,10127.472527472528,0.49253047629283164,0.7200000000000001,True,True
0.82,0.6391941391941391,0.6004437628921941,0.8455882352941176,0.23565573770491804,0.3685897435897436,0.5571705426344127,0.7425293127782,583,21,373,115,4430.769230769231,0.49253047629283164,0.74,True,True
0.85,0.6217948717948718,0.578812018239062,0.8947368421052632,0.17418032786885246,0.2915951972555746,0.4896313364042994,0.7425293127782,594,10,403,85,2109.89010989011,0.49253047629283164,0.77,True,True
0.88,0.6117216117216118,0.5673447508413852,0.8902439024390244,0.14959016393442623,0.256140350877193,0.44730392156742554,0.7425293127782,595,9,415,73,1898.901098901099,0.49253047629283164,0.8,True,True
0.9,0.5998168498168498,0.5538283031158397,0.8805970149253731,0.12090163934426229,0.2126126126126126,0.3902116402104961,0.7425293127782,596,8,429,59,1687.9120879120878,0.49253047629283164,0.8200000000000001,True,True
